"","","","","","","","","","2RS1","2RSH",""
"","","","","","","2Z","","","","",""
"","Principal dimensions","","","Basic load ratings","Fatigue","Speed ratings","","Mass","","Designations",""
"","","","dynamic","static","load limit","Reference","Limiting","","","Bearing",""
"","","","","","","speed","speed1)","","","open or capped","capped on one"
"d","D","B","C","C0","Pu","","","","","on both sides","side1)"
"mm","","","kN","","kN","r/min","","kg","","–",""
"3","10","4","0,54","0,18","0,007","130 000","80 000","0,0015","▶","623","–"
"","10","4","0,54","0,18","0,007","–","40 000","0,0015","▶","623-2RS1","623-RS1"
"","10","4","0,54","0,18","0,007","130 000","60 000","0,0015","▶","623-2Z","623-Z"
"4","9","2,5","0,423","0,116","0,005","140 000","85 000","0,0007","","618/4","–"
"","9","3,5","0,54","0,18","0,07","140 000","70 000","0,001","","628/4-2Z","–"
"","9","4","0,54","0,18","0,07","140 000","70 000","0,0013","","638/4-2Z","–"
"","11","4","0,624","0,18","0,008","130 000","63 000","0,0017","","619/4-2Z","–"
"","11","4","0,624","0,18","0,008","130 000","80 000","0,0017","","619/4","–"
"","12","4","0,806","0,28","0,012","120 000","75 000","0,0021","","604","–"
"","12","4","0,806","0,28","0,012","120 000","60 000","0,0021","▶","604-2Z","604-Z"
"","13","5","0,936","0,29","0,012","110 000","67 000","0,0031","▶","624","–"
"","13","5","0,936","0,29","0,012","110 000","53 000","0,0031","▶","624-2Z","624-Z"
"","16","5","1,11","0,38","0,016","95 000","60 000","0,0054","","634","–"
"","16","5","1,11","0,38","0,016","–","28 000","0,0054","","634-2RS1","634-RS1"
"","16","5","1,11","0,38","0,016","95 000","48 000","0,0054","","634-2RZ","634-RZ"
"","16","5","1,11","0,38","0,016","95 000","48 000","0,0054","▶","634-2Z","634-Z"
"5","11","3","0,468","0,143","0,006","120 000","75 000","0,0012","","618/5","–"
"","11","4","0,64","0,26","0,011","120 000","60 000","0,0014","","628/5-2Z","–"
"","11","5","0,64","0,26","0,011","120 000","60 000","0,0016","","638/5-2Z","–"
"","13","4","0,884","0,335","0,014","110 000","50 000","0,0025","","619/5-2Z","–"
"","13","4","0,884","0,335","0,014","110 000","70 000","0,0025","","619/5","–"
"","16","5","1,14","0,38","0,016","95 000","60 000","0,005","▶","625","–"
"","16","5","1,14","0,38","0,016","95 000","48 000","0,005","▶","625-2Z","625-Z"
"","19","6","2,34","0,95","0,04","80 000","50 000","0,0085","","635","–"
"","19","6","2,34","0,95","0,04","–","24 000","0,009","","635-2RS1","635-RS1"
"","19","6","2,34","0,95","0,04","80 000","40 000","0,009","","635-2RZ","635-RZ"
"","19","6","2,34","0,95","0,04","80 000","40 000","0,0093","▶","635-2Z","635-Z"
"6","13","3,5","0,715","0,224","0,01","110 000","67 000","0,002","","618/6","–"
"","13","5","0,88","0,35","0,015","110 000","53 000","0,0026","","628/6-2Z","–"
"","15","5","0,884","0,27","0,011","100 000","50 000","0,0039","","619/6-2Z","–"
"","15","5","0,884","0,27","0,011","100 000","63 000","0,0039","","619/6","–"
"","19","6","2,34","0,95","0,04","80 000","50 000","0,0081","▶","626","–"
"","19","6","2,34","0,95","0,04","–","24 000","0,0083","▶","626-2RSH","626-RSH"
"","19","6","2,34","0,95","0,04","80 000","40 000","0,0083","▶","626-2RSL","626-RSL"
"","19","6","2,34","0,95","0,04","80 000","40 000","0,0088","▶","626-2Z","626-Z"
"SKF Explorer bearing","","","","","","","","","","",""
